time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,90,35,0,0
2026-04-23 00:00:00+00:00,79,29,0,0
2026-04-24 00:00:00+00:00,88,30,0,0
2026-04-25 00:00:00+00:00,75,36,0,0
2026-04-26 00:00:00+00:00,15,5,0,0
2026-04-27 00:00:00+00:00,11,5,0,0
2026-04-28 00:00:00+00:00,11,5,0,0
2026-04-29 00:00:00+00:00,47,12,0,0
2026-04-30 00:00:00+00:00,29,8,0,0
2026-05-01 00:00:00+00:00,39,11,0,0
2026-05-02 00:00:00+00:00,45,13,0,0
2026-05-03 00:00:00+00:00,20,9,0,0
2026-05-04 00:00:00+00:00,24,9,0,0
2026-05-05 00:00:00+00:00,49,14,0,0
